;Symbol;medrv;bv;close_price;rv10;rsv_ss;open_time;nobs;rv5;bv_ss;rv5_ss;rv10_ss;open_to_close;close_time;rk_th2;rk_twoscale;open_price;rsv;rk_parzen
2004-08-04 00:00:00+01:00;.SPX;1.96E-05;3.57E-05;1098.33;5.22E-05;2.41E-05;93011;1541;4.65E-05;3.57E-05;4.65E-05;5.22E-05;-0.000309513;160010;3.87E-05;3.82E-05;1098.67;2.41E-05;4.71E-05
2004-08-05 00:00:00+01:00;.SPX;2.54E-05;4.56E-05;1080.68;5.71E-05;3.94E-05;93002;1541;5.09E-05;4.56E-05;5.09E-05;5.71E-05;-0.016473476;160000;4.49E-05;4.30E-05;1098.63;3.94E-05;6.54E-05
2004-08-06 00:00:00+01:00;.SPX;3.05E-05;6.70E-05;1063.89;0.000102755;6.18E-05;93012;1541;9.31E-05;6.70E-05;9.31E-05;0.000102755;-0.013685544;160011;7.80E-05;7.59E-05;1078.55;6.18E-05;6.02E-05
2004-08-09 00:00:00+01:00;.SPX;1.52E-05;2.43E-05;1065.42;2.74E-05;1.14E-05;93012;1541;2.57E-05;2.43E-05;2.57E-05;2.74E-05;0.0005821;160007;2.84E-05;2.83E-05;1064.8;1.14E-05;1.36E-05
2004-08-10 00:00:00+01:00;.SPX;6.30E-06;2.41E-05;1078.81;3.57E-05;1.04E-05;93011;1541;4.24E-05;2.41E-05;4.24E-05;3.57E-05;0.011738898;160009;3.44E-05;3.37E-05;1066.22;1.04E-05;4.34E-05
2004-08-11 00:00:00+01:00;.SPX;2.51E-05;5.14E-05;1075.51;0.000116329;7.82E-05;93000;1541;0.000106615;5.14E-05;0.000106615;0.000116329;-0.003276789;155958;7.65E-05;7.28E-05;1079.04;7.82E-05;0.000109808
2004-08-12 00:00:00+01:00;.SPX;2.11E-05;4.18E-05;1063.18;4.70E-05;3.64E-05;93002;1541;5.06E-05;4.18E-05;5.06E-05;4.70E-05;-0.011790858;160000;5.10E-05;5.06E-05;1075.79;3.64E-05;4.72E-05
2004-08-13 00:00:00+01:00;.SPX;1.98E-05;3.87E-05;1064.78;5.19E-05;1.79E-05;93002;1541;4.43E-05;3.87E-05;4.43E-05;5.19E-05;0.00145676;160000;4.52E-05;4.46E-05;1063.23;1.79E-05;2.07E-05
2004-08-16 00:00:00+01:00;.SPX;1.75E-05;3.84E-05;1079.5;4.27E-05;8.33E-06;93014;1541;4.25E-05;3.84E-05;4.25E-05;4.27E-05;0.013466835;160013;3.85E-05;3.78E-05;1065.06;8.33E-06;8.65E-05
2004-08-17 00:00:00+01:00;.SPX;1.34E-05;2.64E-05;1081.17;3.24E-05;1.13E-05;93005;1540;3.10E-05;2.64E-05;3.10E-05;3.24E-05;0.00168478;155948;2.61E-05;2.54E-05;1079.35;1.13E-05;2.89E-05
2004-08-18 00:00:00+01:00;.SPX;1.31E-05;3.77E-05;1094.95;4.15E-05;1.29E-05;93001;1541;4.69E-05;3.77E-05;4.69E-05;4.15E-05;0.012165578;155957;4.15E-05;4.05E-05;1081.71;1.29E-05;5.19E-05
2004-08-19 00:00:00+01:00;.SPX;2.26E-05;3.18E-05;1090.7;3.16E-05;2.60E-05;93003;1541;3.82E-05;3.18E-05;3.82E-05;3.16E-05;-0.003925539;160001;3.25E-05;3.21E-05;1094.99;2.60E-05;3.68E-05
2004-08-20 00:00:00+01:00;.SPX;7.72E-06;2.25E-05;1098.24;2.52E-05;7.89E-06;93014;1541;2.64E-05;2.25E-05;2.64E-05;2.52E-05;0.006715022;160012;2.58E-05;2.55E-05;1090.89;7.89E-06;1.57E-05
2004-08-23 00:00:00+01:00;.SPX;1.33E-05;1.83E-05;1095.84;2.20E-05;1.19E-05;93000;1541;2.31E-05;1.83E-05;2.31E-05;2.20E-05;-0.002287861;155958;2.25E-05;2.28E-05;1098.35;1.19E-05;1.71E-05
2004-08-24 00:00:00+01:00;.SPX;1.27E-05;2.49E-05;1096.18;3.61E-05;1.28E-05;93009;1541;3.42E-05;2.49E-05;3.42E-05;3.61E-05;-0.00026452;160008;2.85E-05;2.81E-05;1096.47;1.28E-05;2.93E-05
2004-08-25 00:00:00+01:00;.SPX;1.37E-05;2.42E-05;1104.9;2.63E-05;9.17E-06;93003;1541;2.76E-05;2.42E-05;2.76E-05;2.63E-05;0.007950793;160001;2.48E-05;2.47E-05;1096.15;9.17E-06;3.04E-05
2004-08-26 00:00:00+01:00;.SPX;5.98E-06;1.41E-05;1105.44;1.08E-05;7.03E-06;93005;1541;1.51E-05;1.41E-05;1.51E-05;1.08E-05;0.001068018;160004;1.45E-05;1.42E-05;1104.26;7.03E-06;4.01E-06
2004-08-27 00:00:00+01:00;.SPX;2.82E-06;7.37E-06;1108.2;7.59E-06;3.34E-06;93015;1541;9.57E-06;7.37E-06;9.57E-06;7.59E-06;0.002593145;160013;1.35E-05;1.37E-05;1105.33;3.34E-06;6.15E-06
2004-08-30 00:00:00+01:00;.SPX;3.29E-06;1.22E-05;1099.38;1.30E-05;1.49E-05;93000;1541;1.79E-05;1.22E-05;1.79E-05;1.30E-05;-0.007602601;155958;1.41E-05;1.38E-05;1107.77;1.49E-05;1.48E-05
2004-08-31 00:00:00+01:00;.SPX;9.73E-06;1.97E-05;1104.04;3.22E-05;1.05E-05;93004;1541;2.80E-05;1.97E-05;2.80E-05;3.22E-05;0.004384439;160002;2.49E-05;2.39E-05;1099.21;1.05E-05;4.08E-05
2004-09-01 00:00:00+01:00;.SPX;1.49E-05;2.78E-05;1105.84;3.61E-05;1.64E-05;93002;1541;3.04E-05;2.78E-05;3.04E-05;3.61E-05;0.001447912;160001;5.23E-05;5.12E-05;1104.24;1.64E-05;2.09E-05
2004-09-02 00:00:00+01:00;.SPX;5.40E-06;1.42E-05;1118.51;2.10E-05;3.02E-06;93013;1541;1.96E-05;1.42E-05;1.96E-05;2.10E-05;0.011609268;160007;2.35E-05;2.31E-05;1105.6;3.02E-06;5.42E-05
2004-09-03 00:00:00+01:00;.SPX;4.99E-06;2.18E-05;1114.3;2.76E-05;1.36E-05;93007;1540;2.61E-05;2.18E-05;2.61E-05;2.76E-05;-0.001605101;155951;2.41E-05;2.30E-05;1116.09;1.36E-05;1.17E-05
2004-09-07 00:00:00+01:00;.SPX;1.28E-05;2.08E-05;1121.21;5.24E-05;1.20E-05;93007;1541;4.83E-05;2.08E-05;4.83E-05;5.24E-05;0.005724472;160006;4.02E-05;3.93E-05;1114.81;1.20E-05;4.85E-05
2004-09-08 00:00:00+01:00;.SPX;9.64E-06;2.28E-05;1116.38;2.74E-05;1.39E-05;93002;1541;2.27E-05;2.28E-05;2.27E-05;2.74E-05;-0.004076311;160000;2.54E-05;2.54E-05;1120.94;1.39E-05;1.21E-05
2004-09-09 00:00:00+01:00;.SPX;1.58E-05;2.75E-05;1118.17;2.80E-05;1.36E-05;93008;1541;3.20E-05;2.75E-05;3.20E-05;2.80E-05;0.000939475;160007;2.80E-05;2.75E-05;1117.12;1.36E-05;2.36E-05
2004-09-10 00:00:00+01:00;.SPX;1.20E-05;2.80E-05;1123.87;3.25E-05;1.13E-05;93007;1541;2.90E-05;2.80E-05;2.90E-05;3.25E-05;0.004798525;160006;2.54E-05;2.47E-05;1118.49;1.13E-05;2.36E-05
2004-09-13 00:00:00+01:00;.SPX;6.06E-06;1.69E-05;1125.25;1.05E-05;9.52E-06;93008;1540;1.83E-05;1.69E-05;1.83E-05;1.05E-05;0.000480009;155953;1.99E-05;1.96E-05;1124.71;9.52E-06;1.24E-05
2004-09-14 00:00:00+01:00;.SPX;7.68E-06;1.34E-05;1128.37;1.59E-05;7.73E-06;93002;1541;1.43E-05;1.34E-05;1.43E-05;1.59E-05;0.002271337;160000;1.74E-05;1.73E-05;1125.81;7.73E-06;7.65E-06
2004-09-15 00:00:00+01:00;.SPX;7.82E-06;2.15E-05;1120.22;2.58E-05;1.73E-05;93001;1541;2.24E-05;2.15E-05;2.24E-05;2.58E-05;-0.007213569;160000;1.86E-05;1.84E-05;1128.33;1.73E-05;3.19E-05
2004-09-16 00:00:00+01:00;.SPX;3.82E-06;7.85E-06;1123.54;1.26E-05;4.48E-06;93000;1559;1.26E-05;7.85E-06;1.26E-05;1.26E-05;0.002825427;155957;1.24E-05;1.22E-05;1120.37;4.48E-06;1.79E-05
2004-09-17 00:00:00+01:00;.SPX;8.48E-06;1.73E-05;1128.64;2.65E-05;7.06E-06;93011;1544;2.32E-05;1.73E-05;2.32E-05;2.65E-05;0.004208589;160008;1.80E-05;1.73E-05;1123.9;7.06E-06;1.79E-05
2004-09-20 00:00:00+01:00;.SPX;1.41E-05;2.64E-05;1122.3;2.84E-05;2.31E-05;93003;1541;3.34E-05;2.64E-05;3.34E-05;2.84E-05;-0.004870948;160001;3.55E-05;3.54E-05;1127.78;2.31E-05;2.45E-05
2004-09-21 00:00:00+01:00;.SPX;4.24E-06;1.38E-05;1129.26;2.11E-05;3.71E-06;93004;1540;1.57E-05;1.38E-05;1.57E-05;2.11E-05;0.005710267;155948;2.07E-05;2.11E-05;1122.83;3.71E-06;1.68E-05
2004-09-22 00:00:00+01:00;.SPX;1.28E-05;2.44E-05;1113.49;5.27E-05;5.00E-05;93009;1541;5.75E-05;2.44E-05;5.75E-05;5.27E-05;-0.012902599;160007;3.78E-05;3.67E-05;1127.95;5.00E-05;7.04E-05
2004-09-23 00:00:00+01:00;.SPX;1.23E-05;2.51E-05;1108.57;3.14E-05;1.32E-05;93000;1541;2.68E-05;2.51E-05;2.68E-05;3.14E-05;-0.004491194;155958;2.81E-05;2.78E-05;1113.56;1.32E-05;1.61E-05
2004-09-24 00:00:00+01:00;.SPX;7.87E-06;1.47E-05;1110.23;1.78E-05;7.59E-06;93001;1541;1.72E-05;1.47E-05;1.72E-05;1.78E-05;0.001685756;160000;1.82E-05;1.76E-05;1108.36;7.59E-06;1.62E-05
2004-09-27 00:00:00+01:00;.SPX;9.20E-06;1.70E-05;1103.82;1.92E-05;1.23E-05;93013;1558;1.89E-05;1.70E-05;1.89E-05;1.92E-05;-0.004726902;160000;2.23E-05;2.22E-05;1109.05;1.23E-05;1.86E-05
2004-09-28 00:00:00+01:00;.SPX;1.30E-05;2.03E-05;1110.26;3.00E-05;8.52E-06;93011;1541;2.40E-05;2.03E-05;2.40E-05;3.00E-05;0.005436907;160006;2.47E-05;2.43E-05;1104.24;8.52E-06;2.63E-05
2004-09-29 00:00:00+01:00;.SPX;1.17E-05;2.59E-05;1114.51;2.26E-05;9.83E-06;93011;1541;2.49E-05;2.59E-05;2.49E-05;2.26E-05;0.004153935;160010;2.24E-05;2.19E-05;1109.89;9.83E-06;1.57E-05
2004-09-30 00:00:00+01:00;.SPX;1.29E-05;2.35E-05;1114.28;2.26E-05;1.70E-05;93000;1541;2.83E-05;2.35E-05;2.83E-05;2.26E-05;-0.00046656;155959;2.90E-05;2.87E-05;1114.8;1.70E-05;1.43E-05
2004-10-01 00:00:00+01:00;.SPX;7.16E-06;2.67E-05;1131.38;4.19E-05;4.33E-06;93003;1541;3.32E-05;2.67E-05;3.32E-05;4.19E-05;0.013723106;160002;2.63E-05;2.50E-05;1115.96;4.33E-06;8.25E-05
2004-10-04 00:00:00+01:00;.SPX;7.71E-06;2.13E-05;1134.94;3.68E-05;1.06E-05;93000;1541;4.17E-05;2.13E-05;4.17E-05;3.68E-05;0.0030356;155959;2.78E-05;2.69E-05;1131.5;1.06E-05;4.00E-05
2004-10-05 00:00:00+01:00;.SPX;8.51E-06;2.04E-05;1134.64;1.13E-05;8.74E-06;93007;1541;2.03E-05;2.04E-05;2.03E-05;1.13E-05;-0.000149816;160005;1.73E-05;1.72E-05;1134.81;8.74E-06;1.51E-05
2004-10-06 00:00:00+01:00;.SPX;1.17E-05;1.62E-05;1141.84;1.82E-05;5.33E-06;93003;1541;1.69E-05;1.62E-05;1.69E-05;1.82E-05;0.006748708;160002;1.78E-05;1.76E-05;1134.16;5.33E-06;2.19E-05
2004-10-07 00:00:00+01:00;.SPX;7.00E-06;1.67E-05;1130.5;2.11E-05;1.31E-05;93007;1541;1.62E-05;1.67E-05;1.62E-05;2.11E-05;-0.009840849;160006;1.65E-05;1.63E-05;1141.68;1.31E-05;3.00E-05
2004-10-08 00:00:00+01:00;.SPX;1.86E-05;2.87E-05;1122.16;3.19E-05;1.58E-05;93006;1541;2.96E-05;2.87E-05;2.96E-05;3.19E-05;-0.006811779;160006;2.56E-05;2.52E-05;1129.83;1.58E-05;3.61E-05
2004-10-11 00:00:00+01:00;.SPX;5.62E-06;1.08E-05;1124.68;1.34E-05;4.64E-06;93000;1541;1.62E-05;1.08E-05;1.62E-05;1.34E-05;0.002260974;155958;1.19E-05;1.17E-05;1122.14;4.64E-06;4.43E-06
2004-10-13 00:00:00+01:00;.SPX;2.64E-05;4.67E-05;1113.36;4.38E-05;2.85E-05;93010;1539;4.37E-05;4.67E-05;4.37E-05;4.38E-05;-0.010009378;155956;3.62E-05;3.53E-05;1124.56;2.85E-05;6.18E-05
2004-10-14 00:00:00+01:00;.SPX;1.73E-05;2.78E-05;1103.33;3.51E-05;1.83E-05;93007;1541;2.68E-05;2.78E-05;2.68E-05;3.51E-05;-0.009220231;160007;2.92E-05;2.89E-05;1113.55;1.83E-05;2.72E-05
